,,WorldUniversity,,,,,,,Shanghai,,,,,,,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,University,world_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,,world_rank,alumni,award,hici,ns,pub,,world_rank,teaching,international,research,income,student_staff_ratio,,,,,,,,,,,,,,,,,,,,,,,,
USA,Harvard University,1,1,1,1,1,1,,1,100,100,100,100,100,,2,92.9,67.6,98.6,44,8.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,Stanford University,2,9,2,4,5,3,,2,40.7,89.6,80.1,70.1,70.6,,4,91.5,69,96.7,63.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,
USA,Massachusetts Institute of Technology,3,3,11,2,15,2,,3,68.2,80.7,60.6,73.1,61.1,,6,89.1,84.3,88.2,95.7,9,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Cambridge,4,2,10,5,11,6,,5,77.1,96.6,50.8,55.6,66.4,,5,89.7,87.8,95.6,51.1,11.8,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Oxford,5,7,13,10,7,12,,10,49.7,54.9,52.3,51.9,70.9,,3,88.6,90.7,97.7,72.9,11.6,,,,,,,,,,,,,,,,,,,,,,,,
USA,Columbia University,6,13,6,9,13,13,,8,63.5,65.9,52.1,51.9,68.8,,14,83.9,68.3,79.4,-,5.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,"University of California, Berkeley",7,5,21,6,10,4,,4,65.1,79.4,66.1,65.6,67.9,,8,84.2,58.5,96.7,44.8,16.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Chicago,8,11,14,8,17,16,,9,59.8,86.3,49,42.9,49.8,,11,83.9,65.2,89.9,36.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,
USA,Princeton University,9,4,15,3,72,25,,6,53.3,93.4,57.1,43,42.4,,7,86.6,61.2,94.7,82.7,8.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,Cornell University,10,12,18,14,24,15,,13,42,49.8,50.4,45.3,59.9,,19,71.6,59,83.8,33.7,10.2,,,,,,,,,,,,,,,,,,,,,,,,
USA,Yale University,11,10,26,11,18,8,,11,47.6,50.4,51,58.8,63,,9,88.5,59.8,90.8,42,4.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,California Institute of Technology,12,6,328,7,53,9,,7,49.5,66.7,49.3,56.4,44,,1,92.2,67,98.1,89.1,6.9,,,,,,,,,,,,,,,,,,,,,,,,
