quality_of_education,alumni_employment,quality_of_faculty,publications,influence,teaching,international,research,income,student_staff_ratio,Ranking_Bin
367,424,218,502,647,20.1,71.8,20.6,30.6,30.4,8
367,559,218,425,384,20.1,91.3,17.1,36.1,17.1,7
367,304,218,391,292,24,89.2,24.8,36.2,20,7
367,567,218,654,456,20.2,86.9,16.3,38.8,36.5,8
196,379,52,130,99,53.7,91.3,70.9,38.9,19.2,4
367,543,218,580,668,27.8,86.9,32.5,40.1,44.1,8
367,269,218,431,433,25.2,80.4,27.8,44.7,25.4,7
177,70,218,90,177,41.1,83.5,51.9,47.8,25.9,5
141,113,218,42,68,60.4,81.3,70.9,61.2,23.7,2
156,306,145,146,181,36.3,87.3,38.1,63.3,20.7,4
219,445,218,234,243,33.8,79.3,40.4,65.3,30.1,6
269,292,142,65,78,45.8,80.4,58.4,66.2,32.7,4
105,198,166,45,103,52.8,83.6,60.8,67.3,20.2,5
367,567,218,477,750,29.9,69.8,36,71.9,35.8,9
277,145,218,86,136,43.7,79.6,54.4,73.4,40.5,5
367,567,218,408,496,26.5,70.6,29.9,75.6,21.9,8
191,185,101,231,154,35.2,91,39.7,29.4,20.5,6
349,453,204,571,547,23.7,64.8,17.3,30.2,26.8,9
367,567,218,251,228,28.6,73.1,17,33.7,2.9,7
197,397,112,430,222,23.9,93.4,17.1,42,16.9,7
363,350,218,377,377,43.3,75.9,32.4,64.1,52,9
110,567,218,294,301,31.2,54.5,17.9,44.8,17.1,7
173,110,69,236,214,26.7,79.4,36.2,50.7,26.1,5
143,567,144,317,218,25.9,69.1,18.4,70.4,25.9,7
123,329,147,84,149,42.5,49.1,51.6,85.3,34.1,3
367,202,218,35,92,53,62.3,63.6,99.9,41.9,4
367,567,218,265,307,34.6,61,33.6,100,30.3,8
297,71,218,59,186,51.6,25.3,51.6,40.1,14.6,5
367,538,218,479,739,24.3,61.1,24.5,30.7,29.8,9
367,567,218,321,328,21.6,70.1,30.6,31.6,21.5,7
34,37,75,33,53,63.3,79,69.9,38.6,13.7,3
81,275,93,26,36,60.5,84.8,69,40.1,17.6,2
367,123,218,145,180,34.4,63.1,30.5,41.5,16.5,7
367,124,218,190,333,30.9,63.1,40.4,41.7,24.2,7
367,567,218,284,303,24.6,61.4,29.3,41.8,28.3,7
157,93,155,261,308,31.6,43.4,29.4,43.5,27.8,8
223,163,218,171,194,37.9,63.2,34.7,45.9,26.3,7
70,51,32,2,17,74.4,71.2,85.1,46.1,19.5,1
169,151,153,62,109,43.8,73.4,47.1,51.8,21.6,5
322,155,218,254,274,37.3,55.4,33.4,59,22.1,7
292,273,218,207,270,35.8,55.7,29.9,62.7,16.2,7
222,268,163,127,156,38.1,69.4,43.2,85,19.3,4
320,376,218,101,111,43.8,76.7,44.4,91.8,20.3,5
367,302,218,914,974,52.6,63.1,45.4,41.6,24.5,2
367,203,218,112,252,45.6,37.4,34,49.4,12.2,6
342,362,218,134,358,34.6,50.2,23.3,51.7,13.3,7
367,254,218,161,393,32.5,37,25.2,58.9,16.6,6
367,104,218,313,667,33.6,71.6,30,68.9,14.4,7
367,258,218,274,612,34.1,33.1,17.4,85.9,14.4,8
335,143,218,81,267,37.9,23.9,37.9,88.4,12.8,5
367,309,218,71,290,36,21.5,33.1,88.6,15.9,5
309,73,218,63,158,64.1,44.6,68.3,99.7,13.7,5
182,38,218,52,131,70,53.7,61.9,100,8.3,5
367,439,218,596,660,23.8,65.8,28.5,43.9,15.9,8
117,149,64,38,31,34,71.8,34.4,44.4,4.1,2
310,165,106,91,81,30.9,66.3,47.5,59.8,13.6,3
367,567,218,386,327,19.5,67.1,20.5,72.6,12.7,7
351,510,202,220,230,39.9,79.7,28.2,98.6,5,5
56,551,111,80,79,37.5,49.7,48.1,31.5,15.1,3
367,531,218,320,319,24.3,46.3,21.8,32.1,14.6,8
367,567,218,374,388,24.3,44.1,21.6,32.8,17.3,9
367,224,218,336,403,31.8,59.4,31.3,64.5,24.2,9
367,525,218,456,443,27.6,47.2,24,40.2,15.2,9
195,567,218,110,93,38,57.3,29.3,31.3,12.1,6
71,567,49,191,145,28.6,69.5,23.4,32,17.8,4
30,404,88,31,35,47.3,64.7,30,33.4,8.7,2
367,567,218,132,121,19.1,52.1,17.2,33.6,16.1,7
367,567,218,480,375,27.5,48.6,19.1,37.4,67.8,9
193,487,198,232,183,31.1,44.2,24.3,42,23.8,6
367,498,218,287,282,21.9,49.2,13.7,44.2,46.6,8
367,567,218,466,289,33.9,53,27.6,46.3,25.6,9
82,172,218,399,369,30.6,59.3,17.3,48.2,45.4,7
37,118,177,104,90,45.6,64,37.4,49,31.5,3
367,567,218,475,337,30.5,57,33.4,52.5,59.1,9
85,271,218,360,412,42.2,70.4,32.3,63.4,17.5,8
357,238,131,197,359,39,56.8,29.9,69.8,27.6,7
367,567,218,816,684,28.6,87.3,33.4,74.2,18.9,7
356,208,131,193,280,40.5,60.1,34.9,82.7,24.6,7
58,249,65,153,107,32.2,54.8,22.2,55.4,70.4,4
367,166,218,259,764,33.7,69.9,36.5,42.6,25.9,8
100,479,116,162,356,43.9,64,53.5,42.8,10.2,6
