quality_of_education,alumni_employment,quality_of_faculty,publications,influence,alumni,award,hici,ns,pub,Ranking_Bin
6,328,7,53,9,49.5,66.7,49.3,56.4,44,1
1,1,1,1,1,100,100,100,100,100,1
7,13,10,7,12,49.7,54.9,52.3,51.9,70.9,1
9,2,4,5,3,40.7,89.6,80.1,70.1,70.6,1
2,10,5,11,6,77.1,96.6,50.8,55.6,66.4,1
3,11,2,15,2,68.2,80.7,60.6,73.1,61.1,1
4,15,3,72,25,53.3,93.4,57.1,43,42.4,1
5,21,6,10,4,65.1,79.4,66.1,65.6,67.9,1
10,26,11,18,8,47.6,50.4,51,58.8,63,1
11,14,8,17,16,59.8,86.3,49,42.9,49.8,1
28,27,13,6,14,29.5,47.1,52.3,47.2,70.7,1
13,6,9,13,13,63.5,65.9,52.1,51.9,68.8,1
18,84,16,4,11,37.7,33.6,44,44.9,70.2,1
20,4,28,8,18,31.6,33.8,49.6,39.6,67.7,1
24,17,140,3,20,34.4,0,56.2,41.3,75.9,1
74,31,56,19,23,15.4,14.9,50.2,39,61.7,1
12,18,14,24,15,42,49.8,50.4,45.3,59.9,1
70,51,32,2,17,19.9,17.2,38.8,38.6,79.1,1
163,12,104,27,34,15.4,22.1,50.3,37,58.1,1
16,3,38,14,19,30.8,14.1,41.9,48.6,70.8,1
25,160,23,211,225,31.6,31.6,28.6,15.2,34.3,1
367,98,218,34,125,0,0,19.3,20.3,59.5,1
48,103,41,9,10,21.2,31.6,53,51.7,71.9,2
135,60,218,107,152,12.6,0,30.3,22.4,43.2,2
75,36,25,48,50,16.2,16.3,38.6,37.5,56,2
33,75,21,40,48,29.9,36.2,34.9,32.4,55.5,2
29,29,34,21,24,30.8,34.8,40.2,35.7,62.5,2
81,275,93,26,36,15.4,18.8,32.8,32,63,2
141,113,218,42,68,17,13.3,28.6,25.3,66.9,2
78,65,91,503,739,19.9,16.3,15.2,18.2,31.2,2
44,127,33,54,37,20.5,24.9,25.8,30.5,51.9,2
133,280,29,111,59,14.5,39.1,38.7,27.5,37.3,2
32,22,18,47,29,28.1,31.9,35.2,40.3,56.2,2
34,37,75,33,53,32.8,0,22.8,27.3,59.3,2
27,190,114,76,116,21.2,21,29.5,18.2,54.3,2
36,567,19,16,5,19.2,35.5,56.6,55.1,62.9,2
101,96,71,41,21,22.9,24.9,40.7,41.8,50.5,2
287,128,218,139,204,0,0,17.5,14.2,43.9,2
149,567,36,51,54,22.4,26.6,24.8,23.5,50.8,2
196,379,52,130,99,13.6,19.2,24.8,20.1,45.1,2
63,130,63,23,40,29.5,16.3,47.3,32.5,64,2
124,69,86,32,32,8.9,16.3,39.8,33.5,61.2,2
182,38,218,52,131,0,0,11.2,21.5,64,2
309,73,218,63,158,10.3,0,10,26.8,63.8,2
367,9,218,36,163,0,0,12.3,17.9,67.1,2
367,359,218,256,466,0,0,17.4,9.2,31.9,3
367,388,218,533,748,0,0,8.3,14.1,38.8,3
99,92,72,43,70,18.5,32.6,27.1,26.1,56.2,3
64,43,73,121,67,14.5,13.3,26.2,25.1,43.6,3
367,202,218,35,92,0,0,30.1,18.6,56.6,3
54,227,59,29,33,0,0,41,33,58,3
303,54,83,60,45,11.5,11.5,29.1,26.3,49.5,3
230,44,62,49,43,10.3,0,41.6,31.6,53.4,3
22,16,24,30,42,31.6,37.2,33.6,32.6,59,3
105,198,166,45,103,14.5,0,9.6,18.1,64.7,3
367,567,218,102,361,0,0,11.2,10.5,50.5,3
263,567,61,548,526,0,0,7.2,6.1,17.2,3
120,567,102,82,94,17.8,9.4,25.7,22,46.9,3
269,292,142,65,78,12.6,0,22,24,63.2,3
367,567,218,285,355,0,0,7.1,9.1,29.9,3
96,87,82,28,52,12.6,0,38.3,22.8,60.9,3
52,161,95,255,150,16.2,21.7,28.1,22.8,29.2,3
367,302,218,914,974,19.9,25.3,23.7,29.4,51.7,3
307,300,218,224,224,11.5,0,8.6,18.1,38.9,3
367,46,189,87,147,0,14.9,22,8,33.6,3
194,196,74,92,69,7.3,16.3,25.7,32.4,45.5,3
83,363,60,167,100,19.2,16.3,17.4,21.4,39.2,3
152,62,39,57,64,0,31.7,35.6,22.1,53.2,3
109,317,212,70,88,5.1,0,20.8,18.8,53.3,4
84,199,115,39,44,22.9,20,29.1,25.4,46,4
112,162,218,88,123,8.9,0,30.7,21.8,50.6,4
132,267,116,248,199,0,0,19.6,14.6,34.5,4
277,145,218,86,136,0,0,18.4,22.6,58.6,4
139,55,87,74,39,14.5,0,27.2,27.5,48.4,4
221,24,155,242,242,12.6,0,17.5,13.9,31.8,4
60,48,182,166,160,18.5,16.3,20.1,15.4,34.9,4
227,567,44,78,51,0,29.3,34.3,28.9,45.3,4
123,329,147,84,149,5.1,13.3,26.9,18.3,57.5,4
212,141,159,198,191,13.6,0,32,16.9,35.5,4
79,169,218,25,57,18.5,0,39.8,19.2,59.6,4
367,146,116,67,60,0,0,28.4,22,51.3,4
222,268,163,127,156,12.6,18.8,23.2,15.1,44.5,4
234,89,218,123,144,7.3,0,24.9,18.5,42.1,4
87,94,110,55,62,15.4,29,28.4,21.8,51,4
80,67,31,96,38,12.6,34.1,37.1,36,45,4
129,79,187,202,89,24.1,27.4,18.1,19.4,40.4,4
37,118,177,104,90,34.8,21.6,22.3,23.2,48.3,4
73,321,70,95,75,17.8,27.4,18.4,24.6,49.8,4
367,567,218,185,354,0,0,10.7,5.9,41.4,5
55,33,47,75,95,13.6,23.1,27.7,25.1,49,5
30,404,88,31,35,33.6,27.4,25.8,29.8,59.2,5
56,551,111,80,79,12.6,16.3,25.2,22.4,51.8,5
210,444,116,205,239,0,29.8,23.7,14,39.3,5
115,389,85,56,46,5.1,24,27.1,29,51.6,5
147,319,218,226,175,17.8,0,18.1,13.7,32.1,5
35,191,42,122,77,27.1,28.2,21.4,27.6,38.1,5
175,567,100,243,49,0,0,37.9,33.9,29,5
177,70,218,90,177,0,0,20.2,17.8,58.6,5
145,506,218,308,188,10.3,0,3.8,17.5,29.3,5
151,257,57,359,250,0,22.4,15.2,12.1,30.3,5
320,376,218,101,111,11.5,0,17.2,17.3,50.6,5
367,567,218,270,205,0,0,13.9,15.2,32.5,5
50,215,195,137,106,30.3,10.9,15.9,19,39.7,5
313,193,196,64,96,0,18.8,23,21,52.6,5
136,466,169,85,135,21.2,0,22.5,16.3,49.7,5
351,510,202,220,230,5.1,11.5,21.1,14.6,39,5
72,53,113,114,118,24.6,7.7,25.2,20.8,39,5
142,209,196,129,137,17.8,13.3,18.4,17.5,42.8,5
169,151,153,62,109,11.5,0,23.9,19.2,54.2,5
104,126,146,319,236,18.5,0,12.2,11.5,37.3,5
367,97,218,557,363,0,0,8.6,14.1,22.3,6
214,276,96,37,73,17,0,30.9,21,58.7,6
100,479,116,162,356,0,14.1,15.1,5.2,43.1,6
209,20,126,94,74,0,0,27,27.7,43.7,6
367,360,218,364,398,0,0,13.9,7.4,30.1,6
184,526,213,163,128,12.6,0,16.3,19.2,41.3,6
68,210,43,58,47,19.2,20,33,31.6,52.7,6
329,95,218,115,133,0,0,24.6,19.5,46.2,6
102,423,218,235,101,0,0,14.9,22,33.2,6
367,385,218,79,120,0,0,27.8,18,55.5,6
338,78,200,289,233,10.3,13.3,12.3,13.1,31,6
128,274,218,89,119,16.2,0,12.3,19.3,50.4,6
367,567,218,672,440,0,0,34.3,22.7,49.5,6
170,50,128,169,169,12.6,0,15.9,15.3,37.8,6
367,347,186,306,549,0,0,12.3,9.2,31.1,6
367,567,218,832,515,10.3,18.8,34.5,24.8,44.6,6
62,157,218,133,141,17,0,18.4,18.4,42.5,6
51,342,78,549,195,19.2,0,8.6,18.8,18.4,6
