alumni,award,hici,ns,pub,teaching,international,research,income,student_staff_ratio,Ranking_Bin
100,100,100,100,100,92.9,67.6,98.6,44,8.9,1
40.7,89.6,80.1,70.1,70.6,91.5,69,96.7,63.1,7.8,1
68.2,80.7,60.6,73.1,61.1,89.1,84.3,88.2,95.7,9,1
77.1,96.6,50.8,55.6,66.4,89.7,87.8,95.6,51.1,11.8,1
49.7,54.9,52.3,51.9,70.9,88.6,90.7,97.7,72.9,11.6,1
63.5,65.9,52.1,51.9,68.8,83.9,68.3,79.4,49.3,5.9,1
65.1,79.4,66.1,65.6,67.9,84.2,58.5,96.7,44.8,16.4,1
59.8,86.3,49,42.9,49.8,83.9,65.2,89.9,36.8,6.9,1
53.3,93.4,57.1,43,42.4,86.6,61.2,94.7,82.7,8.4,1
42,49.8,50.4,45.3,59.9,71.6,59,83.8,33.7,10.2,1
47.6,50.4,51,58.8,63,88.5,59.8,90.8,42,4.4,1
49.5,66.7,49.3,56.4,44,92.2,67,98.1,89.1,6.9,1
30.8,14.1,41.9,48.6,70.8,81.4,32.4,85.1,51.2,5.7,1
31.6,33.8,49.6,39.6,67.7,79,43.8,82,43,6.5,1
29.5,47.1,52.3,47.2,70.7,82.4,49.2,90.5,49.3,10.3,1
37.7,33.6,44,44.9,70.2,75.6,59.7,84.2,100,3.6,1
31.6,37.2,33.6,32.6,59,70.4,29,68.4,73.3,5.6,1
28.1,31.9,35.2,40.3,56.2,68.3,41.2,62.4,30.2,6.8,1
34.4,0,56.2,41.3,75.9,77,49.8,86.5,55.7,9,1
19.2,35.5,56.6,55.1,62.9,52,37,66.6,54.2,6.5,1
15.4,22.1,50.3,37,58.1,72.7,36.7,78.9,77,13.8,1
32,28.2,19.6,21.5,37.6,41.5,53.3,36.3,31.5,10.7,1
0,0,12.3,17.9,67.1,75.5,30.3,77.1,86.3,13.9,1
30.8,34.8,40.2,35.7,62.5,67.7,33.6,71.3,53.3,10.8,1
15.4,14.9,50.2,39,61.7,73.5,50.5,75.2,100,4.8,2
16.2,16.3,38.6,37.5,56,64.3,33.1,72,58.1,17.4,2
21.2,31.6,53,51.7,71.9,64.5,47.9,68.9,44.7,11.8,2
19.9,17.2,38.8,38.6,79.1,74.4,71.2,85.1,46.1,19.5,2
29.9,36.2,34.9,32.4,55.5,67.7,43.9,79,51.7,18.7,2
8.9,16.3,39.8,33.5,61.2,57.9,35.3,58.6,40.5,7.3,2
0,0,27,27.7,43.7,48.7,31.8,35.9,49.8,10.2,2
32.8,0,22.8,27.3,59.3,63.3,79,69.9,38.6,13.7,2
13.6,23.1,27.7,25.1,49,47.8,64.3,50.5,49.3,18.1,2
17.8,0,20.7,14.4,25.4,38.3,33.1,35.4,49.1,6.6,2
8.9,0,31.6,26.7,51.7,51.3,29.1,48,73.6,7.8,2
18.5,0,39.8,19.2,59.6,45.2,32.2,46.3,38.5,5.8,2
10.3,0,41.6,31.6,53.4,54.6,37.4,64.8,60.4,12.4,2
29.5,16.3,47.3,32.5,64,59.9,33.8,64.7,49.3,18,2
12.6,0,38.3,22.8,60.9,54,51.5,51.1,46.8,13.4,2
0,31.7,35.6,22.1,53.2,55.2,42.7,44.6,34.4,12.9,3
22.9,24.9,40.7,41.8,50.5,57.6,46.5,55.2,49.3,5.7,3
0,0,41,33,58,54.4,52.9,59.7,55.4,13.9,3
12.6,34.1,37.1,36,45,35,39.1,38.3,49.3,16.1,3
20.5,24.9,25.8,30.5,51.9,58.9,84.3,62.9,41.2,14.1,3
0,0,11.2,21.5,64,70,53.7,61.9,100,8.3,3
11.5,0,13.9,11.6,55.5,48.8,27.5,57.3,43.8,11.9,3
17,0,30.9,21,58.7,49.8,32.2,52.1,49.3,18.7,3
31.6,31.6,28.6,15.2,34.3,61.6,59.3,74.9,53,13.1,3
15.4,18.8,32.8,32,63,60.5,84.8,69,40.1,17.6,3
33.6,27.4,25.8,29.8,59.2,47.3,64.7,30,33.4,8.7,3
14.5,39.1,38.7,27.5,37.3,49.4,64.3,61.4,87.1,27.3,3
0,0,19.3,20.3,59.5,72,94.9,78.1,53.4,15.5,3
11.5,11.5,29.1,26.3,49.5,56.4,47.8,46.7,30.3,8.6,3
18.5,32.6,27.1,26.1,56.2,58.1,82,58.7,39.4,15.3,3
14.5,0,27.2,27.5,48.4,44.9,38.8,51.4,99.6,12.7,3
15.4,29,28.4,21.8,51,46,28.3,38.2,59.4,3.6,3
0,11.5,26.5,25.5,46.7,38.8,27.5,36.5,58.1,16.9,3
22.4,26.6,24.8,23.5,50.8,57.1,60.6,68,65.5,11.5,3
19.2,20,33,31.6,52.7,36.5,44.8,39.1,33.2,8.4,3
14.5,0,23.9,21,52.2,49.7,29.7,47.3,76.8,5,3
21.8,18.8,28,34,63.2,34,71.8,34.4,44.4,4.1,3
12.6,0,17.5,13.9,31.8,43.3,51.4,38.5,49.3,13.8,4
10.3,0,10,26.8,63.8,64.1,44.6,68.3,99.7,13.7,4
12.6,0,30.3,22.4,43.2,62.5,68.9,71.2,72.3,20.1,4
24.6,7.7,25.2,20.8,39,41.9,55.5,29.2,36.4,4.5,4
0,0,30.1,18.6,56.6,53,62.3,63.6,99.9,41.9,4
14.5,13.3,26.2,25.1,43.6,55.5,37,54.2,32.7,10.1,4
0,0,28.4,22,51.3,49,42.9,32.4,42.3,4.5,4
0,14.9,22,8,33.6,39.8,66.2,53.7,54.4,18.9,4
0,0,20.7,14.8,48.1,43.5,46.1,51.1,42.6,24.4,4
22.9,20,29.1,25.4,46,38.2,52.9,54.8,84.1,15.4,4
14.5,0,9.6,18.1,64.7,52.8,83.6,60.8,67.3,20.2,4
0,29.3,34.3,28.9,45.3,39.5,56.1,41.7,40,16.1,4
27.1,28.2,21.4,27.6,38.1,34.5,96.8,37.2,65.1,15,4
17,13.3,28.6,25.3,66.9,60.4,81.3,70.9,61.2,23.7,4
